 written on 26Oct2020 at 15:32:52 
  -1.61399000000000       0.000000000000000E+000   1.61399000000000     
  0.000000000000000E+000   1.61399000000000        1.61399000000000     
  -1.61399000000000        1.61399000000000       0.000000000000000E+000
           4
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    2   -0.19882999E-02  0.14334491E-09
    2    2    0.12409573E-01  0.90928606E-10
    3    2   -0.40231924E-02  0.23227887E-09
    4    2   -0.19883010E-02  0.14701968E-08
    1    3   -0.79546425E-02  0.29873937E-09
    2    3   -0.35022557E-02  0.62971367E-10
    3    3    0.12409574E-01 -0.37393135E-09
    4    3   -0.79546416E-02  0.69079082E-10
    1    4    0.15396627E-02 -0.28458015E-09
    2    4   -0.79546416E-02 -0.21021325E-09
    3    4   -0.19882998E-02 -0.11556190E-08
    4    4    0.15749602E-01  0.69507022E-10

   -2    1    0
    1    1   -0.12934224E-01 -0.54702021E-10
    2    1   -0.19882996E-02 -0.54038379E-09
    3    1   -0.21538152E-01  0.58649377E-09
    4    1    0.13490016E-01 -0.52520578E-09
    1    2    0.30209090E-01  0.65776385E-09
    2    2    0.31513796E-02 -0.33386655E-09
    3    2    0.30209096E-01  0.23947466E-09
    4    2   -0.85402697E-02 -0.10699148E-08
    1    3   -0.21538153E-01  0.69428168E-09
    2    3   -0.19883014E-02 -0.63626300E-09
    3    3   -0.12934226E-01  0.60679931E-09
    4    3    0.13490017E-01  0.43119616E-09
    1    4    0.10031798E+00 -0.21505239E-08
    2    4   -0.38176756E-01  0.10968541E-08
    3    4    0.10031798E+00 -0.21401380E-08
    4    4   -0.88751260E-04 -0.21828780E-09

   -2    1    1
    1    1    0.31513795E-02 -0.10985017E-09
    2    1    0.30209096E-01  0.34054549E-09
    3    1    0.30209094E-01  0.14624238E-08
    4    1   -0.85402731E-02 -0.46842072E-10
    1    2   -0.19882993E-02 -0.43893732E-09
    2    2   -0.12934225E-01 -0.58220922E-09
    3    2   -0.21538151E-01 -0.20109362E-10
    4    2    0.13490017E-01 -0.45727128E-09
    1    3   -0.19882993E-02 -0.47059724E-09
    2    3   -0.21538154E-01  0.82549507E-09
    3    3   -0.12934225E-01 -0.21408665E-09
    4    3    0.13490017E-01 -0.73095037E-09
    1    4   -0.38176759E-01  0.21347079E-08
    2    4    0.10031798E+00 -0.21446441E-08
    3    4    0.10031798E+00 -0.86095903E-09
    4    4   -0.88750920E-04  0.90617563E-09

   -2    1    2
    1    1    0.12409574E-01 -0.17578121E-09
    2    1   -0.19883009E-02  0.49279533E-09
    3    1   -0.40231937E-02  0.45471452E-09
    4    1   -0.19882993E-02  0.21162955E-08
    1    2   -0.79546402E-02  0.58077855E-10
    2    2    0.15749602E-01  0.39491646E-09
    3    2   -0.19883000E-02 -0.68094072E-10
    4    2    0.15396617E-02  0.43059210E-09
    1    3   -0.35022549E-02  0.49291812E-09
    2    3   -0.79546430E-02 -0.35313932E-10
    3    3    0.12409574E-01 -0.25737487E-09
    4    3   -0.79546416E-02  0.48949739E-09
    1    4   -0.79546419E-02  0.55513107E-09
    2    4    0.15396640E-02 -0.69179741E-09
    3    4   -0.19882989E-02 -0.10837869E-08
    4    4    0.15749601E-01  0.38258757E-10

   -2    2   -2
    1    1    0.11647286E-01  0.40116930E-16
    2    1   -0.35022555E-02  0.26835396E-09
    3    1   -0.35022550E-02 -0.13625372E-08
    4    1   -0.35022547E-02  0.14396460E-09
    1    2   -0.35022555E-02 -0.26835397E-09
    2    2    0.11647286E-01 -0.11321581E-16
    3    2   -0.35022549E-02  0.59180080E-09
    4    2   -0.35022548E-02  0.85765629E-09
    1    3   -0.35022550E-02  0.13625372E-08
    2    3   -0.35022549E-02 -0.59180084E-09
    3    3    0.11647286E-01 -0.67104923E-17
    4    3   -0.35022557E-02 -0.12585164E-09
    1    4   -0.35022547E-02 -0.14396460E-09
    2    4   -0.35022548E-02 -0.85765628E-09
    3    4   -0.35022557E-02  0.12585162E-09
    4    4    0.11647286E-01  0.11887016E-16

   -2    2   -1
    1    1    0.12409573E-01  0.76018816E-10
    2    1   -0.35022547E-02 -0.49699357E-09
    3    1   -0.79546408E-02 -0.46558737E-09
    4    1   -0.79546424E-02 -0.14082460E-08
    1    2   -0.40231932E-02 -0.46331376E-09
    2    2    0.12409574E-01 -0.18727198E-09
    3    2   -0.19883003E-02 -0.34457857E-09
    4    2   -0.19882985E-02  0.51172781E-09
    1    3   -0.19883014E-02  0.66243913E-09
    2    3   -0.79546403E-02 -0.29124483E-09
    3    3    0.15749601E-01 -0.19901347E-09
    4    3    0.15396617E-02 -0.52672229E-09
    1    4   -0.19882993E-02 -0.10834569E-08
    2    4   -0.79546410E-02  0.49098321E-09
    3    4    0.15396625E-02 -0.34686629E-09
    4    4    0.15749602E-01  0.31028333E-09

   -2    2    0
    1    1   -0.17298477E-01  0.22497193E-17
    2    1   -0.40231916E-02  0.14561246E-09
    3    1   -0.21538150E-01  0.42112607E-09
    4    1   -0.21538154E-01 -0.10144962E-08
    1    2   -0.40231916E-02 -0.14561247E-09
    2    2   -0.17298477E-01 -0.27220357E-16
    3    2   -0.21538151E-01  0.11684046E-08
    4    2   -0.21538151E-01 -0.13505018E-08
    1    3   -0.21538150E-01 -0.42112609E-09
    2    3   -0.21538151E-01 -0.11684046E-08
    3    3    0.17684995E+00 -0.29662862E-16
    4    3   -0.25466096E+00 -0.13133328E-08
    1    4   -0.21538154E-01  0.10144962E-08
    2    4   -0.21538151E-01  0.13505018E-08
    3    4   -0.25466096E+00  0.13133329E-08
    4    4    0.17684995E+00  0.11624449E-16

   -2    2    1
    1    1    0.12409573E-01 -0.76018761E-10
    2    1   -0.40231932E-02  0.46331376E-09
    3    1   -0.19883014E-02 -0.66243912E-09
    4    1   -0.19882993E-02  0.10834569E-08
    1    2   -0.35022547E-02  0.49699358E-09
    2    2    0.12409574E-01  0.18727203E-09
    3    2   -0.79546403E-02  0.29124485E-09
    4    2   -0.79546410E-02 -0.49098318E-09
    1    3   -0.79546408E-02  0.46558735E-09
    2    3   -0.19883003E-02  0.34457863E-09
    3    3    0.15749601E-01  0.19901342E-09
    4    3    0.15396625E-02  0.34686631E-09
    1    4   -0.79546424E-02  0.14082460E-08
    2    4   -0.19882985E-02 -0.51172787E-09
    3    4    0.15396617E-02  0.52672230E-09
    4    4    0.15749602E-01 -0.31028335E-09

   -2    2    2
    1    1    0.11647286E-01  0.43475057E-16
    2    1   -0.35022555E-02  0.26835395E-09
    3    1   -0.35022550E-02 -0.13625372E-08
    4    1   -0.35022547E-02  0.14396460E-09
    1    2   -0.35022555E-02 -0.26835397E-09
    2    2    0.11647286E-01 -0.79634539E-17
    3    2   -0.35022549E-02  0.59180081E-09
    4    2   -0.35022548E-02  0.85765630E-09
    1    3   -0.35022550E-02  0.13625372E-08
    2    3   -0.35022549E-02 -0.59180081E-09
    3    3    0.11647286E-01 -0.27946761E-16
    4    3   -0.35022557E-02 -0.12585162E-09
    1    4   -0.35022547E-02 -0.14396460E-09
    2    4   -0.35022548E-02 -0.85765628E-09
    3    4   -0.35022557E-02  0.12585166E-09
    4    4    0.11647286E-01 -0.93492525E-17

   -1   -2    1
    1    1    0.15749602E-01 -0.54420648E-09
    2    1   -0.19883013E-02  0.48888864E-09
    3    1    0.15396610E-02  0.14179127E-09
    4    1   -0.79546423E-02 -0.19880451E-10
    1    2   -0.79546425E-02  0.35765707E-09
    2    2    0.12409574E-01  0.39977287E-09
    3    2   -0.79546409E-02 -0.21547282E-10
    4    2   -0.35022546E-02  0.22367144E-10
    1    3    0.15396642E-02  0.12899572E-08
    2    3   -0.19882993E-02 -0.62464610E-09
    3    3    0.15749602E-01 -0.26848535E-09
    4    3   -0.79546423E-02  0.16738877E-09
    1    4   -0.19882986E-02 -0.13693135E-08
    2    4   -0.40231932E-02 -0.11790011E-09
    3    4   -0.19883011E-02  0.18635431E-08
    4    4    0.12409573E-01  0.41290593E-09

   -1   -2    2
    1    1    0.12409574E-01 -0.14400965E-09
    2    1   -0.79546413E-02  0.72491065E-09
    3    1   -0.79546427E-02 -0.11001158E-08
    4    1   -0.35022550E-02 -0.61913462E-09
    1    2   -0.19883017E-02  0.16714889E-08
    2    2    0.15749601E-01 -0.29435446E-09
    3    2    0.15396627E-02 -0.24034248E-09
    4    2   -0.79546420E-02  0.71943153E-09
    1    3   -0.19882998E-02  0.77810248E-09
    2    3    0.15396623E-02 -0.56730121E-09
    3    3    0.15749603E-01 -0.38773651E-10
    4    3   -0.79546431E-02  0.47644630E-09
    1    4   -0.40231920E-02 -0.67891905E-09
    2    4   -0.19883016E-02 -0.14822749E-08
    3    4   -0.19882984E-02 -0.15003930E-09
    4    4    0.12409574E-01  0.47715934E-09

   -1   -1   -1
    1    1    0.73784761E-02  0.49929681E-09
    2    1   -0.85402715E-02  0.33803442E-09
    3    1   -0.85402694E-02  0.53174937E-09
    4    1   -0.85402680E-02  0.63100599E-09
    1    2   -0.85402675E-02 -0.12709558E-08
    2    2    0.73784758E-02 -0.18091167E-09
    3    2   -0.85402722E-02 -0.71506731E-10
    4    2   -0.85402707E-02  0.79178716E-09
    1    3   -0.85402695E-02 -0.93771118E-09
    2    3   -0.85402687E-02 -0.31269723E-09
    3    3    0.73784754E-02  0.38338677E-09
    4    3   -0.85402717E-02 -0.10212955E-09
    1    4   -0.85402707E-02 -0.12263688E-08
    2    4   -0.85402687E-02  0.92154229E-09
    3    4   -0.85402680E-02  0.46480626E-09
    4    4    0.73784759E-02 -0.70174894E-09

   -1   -1    0
    1    1   -0.88751524E-04 -0.16857354E-09
    2    1   -0.85402738E-02 -0.18782093E-09
    3    1    0.13490014E-01  0.99345256E-09
    4    1    0.13490018E-01  0.10442779E-08
    1    2   -0.38176757E-01  0.89456231E-09
    2    2    0.31513797E-02  0.50399880E-09
    3    2   -0.19883008E-02  0.44891558E-09
    4    2   -0.19883000E-02 -0.96148467E-09
    1    3    0.10031798E+00  0.44591267E-09
    2    3    0.30209096E-01 -0.10729391E-08
    3    3   -0.12934225E-01 -0.57031019E-09
    4    3   -0.21538154E-01  0.17861820E-08
    1    4    0.10031797E+00 -0.15799554E-08
    2    4    0.30209093E-01  0.19273912E-08
    3    4   -0.21538150E-01  0.10927027E-08
    4    4   -0.12934225E-01  0.23490583E-09

   -1   -1    1
    1    1    0.15321719E-01 -0.74325192E-09
    2    1   -0.38176758E-01  0.52441033E-09
    3    1    0.15396607E-02  0.94935566E-10
    4    1    0.15396619E-02  0.10280285E-09
    1    2   -0.38176760E-01  0.18247990E-08
    2    2    0.15321719E-01  0.47526871E-10
    3    2    0.15396616E-02  0.12095897E-09
    4    2    0.15396634E-02 -0.58000392E-09
    1    3    0.32232674E-01  0.98238855E-09
    2    3    0.32232675E-01 -0.10563796E-08
    3    3    0.15321720E-01  0.42081613E-09
    4    3   -0.38176759E-01  0.15067366E-08
    1    4    0.32232675E-01 -0.24375986E-08
    2    4    0.32232672E-01 -0.29477779E-08
    3    4   -0.38176757E-01  0.13120878E-08
    4    4    0.15321719E-01  0.27483713E-09

   -1   -1    2
    1    1    0.31513798E-02 -0.26742526E-09
    2    1   -0.38176756E-01  0.10150724E-08
    3    1   -0.19882994E-02  0.10278564E-09
    4    1   -0.19882998E-02 -0.70430450E-09
    1    2   -0.85402686E-02 -0.26886613E-08
    2    2   -0.88751107E-04  0.75877452E-09
    3    2    0.13490015E-01 -0.99130980E-09
    4    2    0.13490016E-01  0.14466758E-08
    1    3    0.30209095E-01 -0.36508525E-09
    2    3    0.10031798E+00 -0.53255128E-09
    3    3   -0.12934226E-01  0.19304723E-09
    4    3   -0.21538154E-01  0.63041415E-09
    1    4    0.30209091E-01 -0.58089300E-09
    2    4    0.10031798E+00 -0.14725664E-09
    3    4   -0.21538151E-01 -0.14266291E-09
    4    4   -0.12934225E-01 -0.68438663E-09

   -1   -1    3
    1    1    0.73784761E-02  0.49929683E-09
    2    1   -0.85402715E-02  0.33803443E-09
    3    1   -0.85402694E-02  0.53174938E-09
    4    1   -0.85402680E-02  0.63100598E-09
