 written on 24Nov2020 at 11:41:47 
  -1.61399000000000       0.000000000000000E+000   1.61399000000000     
  0.000000000000000E+000   1.61399000000000        1.61399000000000     
  -1.61399000000000        1.61399000000000       0.000000000000000E+000
           4
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    2   -0.19883008E-02  0.14200648E-09
    2    2    0.12409574E-01  0.89970181E-10
    3    2   -0.40231872E-02  0.23091958E-09
    4    2   -0.19883019E-02  0.14690303E-08
    1    3   -0.79546417E-02  0.30174827E-09
    2    3   -0.35022564E-02  0.65134141E-10
    3    3    0.12409575E-01 -0.37297449E-09
    4    3   -0.79546408E-02  0.69267491E-10
    1    4    0.15396630E-02 -0.28559032E-09
    2    4   -0.79546408E-02 -0.21352929E-09
    3    4   -0.19883007E-02 -0.11541646E-08
    4    4    0.15749601E-01  0.67785124E-10

   -2    1    0
    1    1   -0.12934222E-01 -0.54794100E-10
    2    1   -0.19883005E-02 -0.54013291E-09
    3    1   -0.21538150E-01  0.58684713E-09
    4    1    0.13490016E-01 -0.52513476E-09
    1    2    0.30209092E-01  0.65723531E-09
    2    2    0.31513776E-02 -0.33380937E-09
    3    2    0.30209098E-01  0.23952001E-09
    4    2   -0.85402722E-02 -0.10699246E-08
    1    3   -0.21538152E-01  0.69460716E-09
    2    3   -0.19883024E-02 -0.63831629E-09
    3    3   -0.12934223E-01  0.60660602E-09
    4    3    0.13490018E-01  0.43137234E-09
    1    4    0.10031798E+00 -0.21515620E-08
    2    4   -0.38176756E-01  0.10962462E-08
    3    4    0.10031798E+00 -0.21413653E-08
    4    4   -0.88754831E-04 -0.21805657E-09

   -2    1    1
    1    1    0.31513776E-02 -0.10994147E-09
    2    1    0.30209098E-01  0.34101533E-09
    3    1    0.30209096E-01  0.14625250E-08
    4    1   -0.85402757E-02 -0.46871763E-10
    1    2   -0.19883003E-02 -0.44000367E-09
    2    2   -0.12934222E-01 -0.58205171E-09
    3    2   -0.21538149E-01 -0.19890298E-10
    4    2    0.13490018E-01 -0.45743496E-09
    1    3   -0.19883002E-02 -0.47091920E-09
    2    3   -0.21538152E-01  0.82531210E-09
    3    3   -0.12934222E-01 -0.21418342E-09
    4    3    0.13490018E-01 -0.73098582E-09
    1    4   -0.38176759E-01  0.21351786E-08
    2    4    0.10031798E+00 -0.21457820E-08
    3    4    0.10031797E+00 -0.86270338E-09
    4    4   -0.88754491E-04  0.90621044E-09

   -2    1    2
    1    1    0.12409574E-01 -0.17379363E-09
    2    1   -0.19883018E-02  0.49419030E-09
    3    1   -0.40231886E-02  0.45372101E-09
    4    1   -0.19883002E-02  0.21177827E-08
    1    2   -0.79546394E-02  0.57679639E-10
    2    2    0.15749602E-01  0.39494055E-09
    3    2   -0.19883010E-02 -0.69513686E-10
    4    2    0.15396621E-02  0.42917361E-09
    1    3   -0.35022556E-02  0.49633455E-09
    2    3   -0.79546422E-02 -0.37222003E-10
    3    3    0.12409574E-01 -0.25851882E-09
    4    3   -0.79546408E-02  0.49037788E-09
    1    4   -0.79546411E-02  0.55327017E-09
    2    4    0.15396644E-02 -0.69269181E-09
    3    4   -0.19882999E-02 -0.10846226E-08
    4    4    0.15749601E-01  0.37398917E-10

   -2    2   -2
    1    1    0.11647286E-01 -0.17481310E-16
    2    1   -0.35022562E-02  0.26662494E-09
    3    1   -0.35022557E-02 -0.13640334E-08
    4    1   -0.35022554E-02  0.14873152E-09
    1    2   -0.35022562E-02 -0.26662492E-09
    2    2    0.11647286E-01  0.39981406E-16
    3    2   -0.35022556E-02  0.59006987E-09
    4    2   -0.35022555E-02  0.86230903E-09
    1    3   -0.35022557E-02  0.13640334E-08
    2    3   -0.35022556E-02 -0.59006991E-09
    3    3    0.11647286E-01  0.52812258E-16
    4    3   -0.35022564E-02 -0.11935487E-09
    1    4   -0.35022554E-02 -0.14873152E-09
    2    4   -0.35022555E-02 -0.86230900E-09
    3    4   -0.35022564E-02  0.11935484E-09
    4    4    0.11647286E-01 -0.37362973E-16

   -2    2   -1
    1    1    0.12409574E-01  0.76145035E-10
    2    1   -0.35022554E-02 -0.50001246E-09
    3    1   -0.79546400E-02 -0.46236297E-09
    4    1   -0.79546416E-02 -0.14064498E-08
    1    2   -0.40231880E-02 -0.46083640E-09
    2    2    0.12409575E-01 -0.18816276E-09
    3    2   -0.19883013E-02 -0.34370314E-09
    4    2   -0.19882994E-02  0.51412277E-09
    1    3   -0.19883023E-02  0.66103349E-09
    2    3   -0.79546395E-02 -0.29039743E-09
    3    3    0.15749601E-01 -0.19740787E-09
    4    3    0.15396621E-02 -0.52539913E-09
    1    4   -0.19883003E-02 -0.10838901E-08
    2    4   -0.79546402E-02  0.48492178E-09
    3    4    0.15396629E-02 -0.34730191E-09
    4    4    0.15749602E-01  0.30943628E-09

   -2    2    0
    1    1   -0.17298469E-01  0.29165038E-16
    2    1   -0.40231864E-02  0.14322692E-09
    3    1   -0.21538149E-01  0.42108108E-09
    4    1   -0.21538153E-01 -0.10150242E-08
    1    2   -0.40231864E-02 -0.14322692E-09
    2    2   -0.17298468E-01 -0.31252128E-16
    3    2   -0.21538150E-01  0.11687134E-08
    4    2   -0.21538150E-01 -0.13500264E-08
    1    3   -0.21538149E-01 -0.42108109E-09
